name,taxid,general_classification,alternative_names,pathogenic_sites,commensal_sites,status,high_consequence,pathology,host_organism,kingdom,phylum,class,order,family,genus,mol_type,reference,Additional references,assembly_accession,request_type
Ralstonia pickettii,329,opportunistic,,"blood, sputum",,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_902374465.1,APL-derived
Mycobacterium malmoense,1780,opportunistic,,"blood, resp, sputum",,established,FALSE,pulmonary NTM disease,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_019645855.1,APL-derived
Prevotella corporis,28128,commensal,,blood,"oral, gut, urine",established,FALSE,,human,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_028743775.1,APL-derived
Staphylococcus lugdunensis,28035,commensal,,"abscess, blood","skin, nasal ",established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5698201/,GCF_001558775.1,APL-derived
Actinomyces urinae,1689268,potential,,"blood, urine",,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900119695.1,APL-derived
Staphylococcus sp.,29387,opportunistic,,"blood, urine","skin, nasal ",established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,dna,"Stepanovic, Srdjan, et al. ""Surgical wound infection associated with Staphylococcus sciuri.""�Scandinavian journal of infectious diseases�34.9 (2002): 685-686.",,GCF_003521195.1,APL-derived
Corynebacterium sp.,1720,opportunistic,,"abscess, blood, resp, urine",skin,established,FALSE,pneumonia,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,dna,"Shukla, Sanjay K., et al. ""Corynebacterium nigricans sp. nov.: proposed name for a black-pigmented Corynebacterium species recovered from the human female urogenital tract.""Journal of clinical microbiology41.9 (2003): 4353-4358.",,GCF_012837295.1,APL-derived
Lactobacillus sp.,1591,commensal,,,"oral, gut, vaginal",established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,dna,"Shinar, E., E. Leitersdorf, and R. Yevin. ""Lactobacillus plantarum endocarditis.""Klinische Wochenschrift62.24 (1984): 1173-1174.",,GCF_014803895.1,APL-derived
Mycobacterium basiliense,2094119,potential,,"resp, sputum",,putative,FALSE,pulmonary NTM disease,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,dna,"Seth-Smith, Helena, et al. ""Discovery and characterization of Mycobacterium basiliense sp. nov., a nontuberculous Mycobacterium isolated from human lungs.""Frontiers in microbiology9 (2019): 3184.",,GCF_900292015.1,APL-derived
Staphylococcus argenteus,985002,opportunistic,,"urine, blood",,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,dna,"Rivera, Maite, et al. ""Staphylococcus lentus peritonitis: a case report.""Peritoneal dialysis international: journal of the International Society for Peritoneal Dialysis34.4 (2014): 469.",,GCF_000236925.1,APL-derived
Brachyspira pilosicoli,52584,potential,,blood,gut,established,FALSE,,"human, swine, poultry",Pseudomonadati,Spirochaetota,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,dna,"Prim, Nuria, et al. ""Bloodstream infection due to Brachyspira pilosicoli in a patient with multiorgan failure.""�Journal of Clinical Microbiology�49.10 (2011): 3697-3699.",,GCF_030168305.1,APL-derived
Mycobacterium triplex,47839,opportunistic,,"resp, sputum",,established,FALSE,pulmonary NTM disease,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,dna,"Piersimoni, Claudio, et al. ""Mycobacterium triplex pulmonary disease in immunocompetent host.""Emerging infectious diseases10.10 (2004): 1859.",,GCF_002102415.1,APL-derived
Mogibacterium diversum,114527,potential,,"blood, oral",oral,putative,FALSE,,human,Bacillati,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Mogibacterium,dna,"Nakazawa, Futoshi, et al. ""Taxonomic characterization of Mogibacterium diversum sp. nov. and Mogibacterium neglectum sp. nov., isolated from human oral cavities.""International journal of systematic and evolutionary microbiology52.1 (2002): 115-122.",https://pubmed.ncbi.nlm.nih.gov/11837293/,GCF_002998925.1,APL-derived
Streptococcus sp.,1306,opportunistic,,"abscess, blood",oral,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,dna,"Maher, Ganesh, et al. ""Streptococcus pluranimalium: emerging animal streptococcal species as causative agent of human brain abscess.""World neurosurgery115 (2018): 208-212.",,GCF_055386095.1,APL-derived
Gemella haemolysans,1379,opportunistic,,blood,"oral, resp, gut",established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,dna,"Lee, Mi Ra, et al. ""Brain abscess due to Gemella haemolysans.""Journal of clinical microbiology42.5 (2004): 2338-2340.",,GCF_008692995.1,APL-derived
Paenibacillus cineris,237530,potential,,"resp, sputum",,putative,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,dna,"Leao, Robson Souza, et al. ""First report of Paenibacillus cineris from a patient with cystic fibrosis.""�Diagnostic microbiology and infectious disease�66.1 (2010): 101-103.",,GCF_018333335.1,APL-derived
Mycobacterium kyorinense,487514,potential,,"sputum, resp",,putative,FALSE,pulmonary NTM disease,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,dna,"Kim, Byoung-Jun, et al. ""Mycobacterium koreense sp. nov., a slowly growing non-chromogenic species closely related to Mycobacterium triviale.""International journal of systematic and evolutionary microbiology62.Pt_6 (2012): 1289-1295.",,GCF_002101735.1,APL-derived
Actinotignum schaalii,59505,opportunistic,,"abscess, blood, urine",,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinotignum,dna,"Ikeda, M., et al. ""Propionimicrobium lymphophilum and Actinotignum schaalii bacteraemia: a case report.""New microbes and new infections18 (2017): 18-21.",,GCF_000724605.1,APL-derived
Leptotrichia sp.,104608,opportunistic,,blood,"oral, gut, vaginal",putative,FALSE,,human,Fusobacteriati,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,dna,"Hanff, Philip A., et al. ""Leptotrichia sanguinegens sp. nov., a new agent of postpartum and neonatal bacteremia.""Clinical infectious diseases(1995): S237-S239.",,GCF_013333235.1,APL-derived
Actinobaculum massiliae,202789,potential,,urine,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinobaculum,dna,"Greub, Gilbert, and Didier Raoult. ""'Actinobaculum massiliae,' a new species causing chronic urinary tract infection.""�Journal of clinical microbiology�40.11 (2002): 3938-3941.",,GCF_001457435.1,APL-derived
Salmonella enterica,28901,primary,,"stool, blood",,established,TRUE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,dna,"Glynn, M. Kathleen, et al. ""Emergence of Multidrug-Resistant Salmonella enterica SerotypeTyphimurium DT104 Infections in the United States.""New England Journal of Medicine338.19 (1998): 1333-1339.",,GCF_000783815.2,APL-derived
Mycobacterium parmense,185642,potential,,blood,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,dna,"Fanti, Franco, et al. ""Mycobacterium parmense sp. nov.""International journal of systematic and evolutionary microbiology54.4 (2004): 1123-1127.",,GCF_010730575.1,APL-derived
Mycobacterium sp.,1785,primary,,"blood, skin, sputum, urine",,established,FALSE,"tuberculosis, pulmonary NTM disease",human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,dna,"Aburjania, Nana, et al. ""Chronic tenosynovitis of the hand caused by Mycobacterium heraklionense.""International journal of mycobacteriology5.3 (2016): 273-275.",,GCF_002786125.1,APL-derived
Sin Nombre virus,3052499,primary,Orthohantavirus sinnombreense,,,established,TRUE,,"human, deer mouse",Orthornavirae,Negarnaviricota,Bunyaviricetes,Elliovirales,Hantaviridae,Orthohantavirus,rna,"National Institute of Allergy and Infectious Diseases. ""Emerging Infectious Diseases Pathogens."" National Institute of Allergy and Infectious Diseases, Date of Publication (if available), URL: https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens.",,GCF_000854765.1,APL-derived
Influenza D virus,1511084,primary,,,,established,TRUE,,"bovine, caprine, swine",Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Deltainfluenzavirus,rna,"National Institute of Allergy and Infectious Diseases. ""Emerging Infectious Diseases Pathogens."" National Institute of Allergy and Infectious Diseases, Date of Publication (if available), URL: https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens.",,,APL-derived
Human betaherpesvirus 5,10359,primary,HHV-5;Human herpesvirus 5; Human cytomegalovirus,,,established,FALSE,,human,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,dna,"National Institute of Allergy and Infectious Diseases. ""Emerging Infectious Diseases Pathogens."" National Institute of Allergy and Infectious Diseases, Date of Publication (if available), URL: https://www.niaid.nih.gov/research/emerging-infectious-diseases-pathogens.",,GCF_000845245.1,APL-derived
Enterovirus C,138950,primary,Poliovirus;Human enterovirus C,,,established,FALSE,,human,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,rna,"Khetsuriani, Nino, et al. ""Enterovirus surveillance�United States, 1970�2005.""�MMWR Surveill Summ�55.8 (2006): 1-20.",,GCF_000861165.1,APL-derived
Rotavirus A,28875,primary,,,,established,FALSE,,human,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,rna,"Desselberger, Ulrich, Miren Iturriza_G�mara, and Jim J. Gray. ""Rotavirus epidemiology and surveillance.""�Gastroenteritis viruses: Novartis Foundation symposium 238. Vol. 238. Chichester, UK: John Wiley & Sons, Ltd, 2001.",,GCF_000880735.1,APL-derived
Mesomycoplasma ovipneumoniae,29562,primary,,,,established,FALSE,,"caprine, ovine",Bacillati,Mycoplasmatota,,Mycoplasmoidales,Metamycoplasmataceae,Mesomycoplasma,dna,https://vetview2.vet.k-state.edu/DLABPortal/catalogSearch.zul,,GCF_024758565.1,APL-derived
Shewanella xiamenensis,332186,opportunistic,,gut,,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,dna,"Zong, Zhiyong. ""Nosocomial peripancreatic infection associated with Shewanella xiamenensis.""Journal of medical microbiology60.9 (2011): 1387-1390.",,GCF_024971755.1,APL-derived
Nocardia colli,2545717,opportunistic,,"abscess, blood, skin",,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,dna,"Zhou, Tao, et al. ""Nocardia colli sp. nov., a new pathogen isolated from a patient with primary cutaneous nocardiosis."" International journal of systematic and evolutionary microbiology 70.5 (2020): 2981.",,GCF_008704205.1,APL-derived
Paenibacillus assamensis DSM 18201,1122916,potential,,blood,,putative,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,dna,"Zhang, Enmin, et al. ""Paenibacillus assamensis in Joint Fluid of Man with Suspected Tularemia, China.""Emerging infectious diseases24.8 (2018): 1589.",,GCF_000422445.1,APL-derived
Streptococcus oralis subsp. tigurinus 2425,1333864,potential,,blood,oral,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,dna,"Zbinden, Andrea, et al. ""Streptococcus tigurinus sp. nov., isolated from blood of patients with endocarditis, meningitis and spondylodiscitis.""International journal of systematic and evolutionary microbiology62.Pt_12 (2012): 2941-2945.",,GCF_000442155.1,APL-derived
Empedobacter falsenii,343874,opportunistic,,"abscess, blood, resp, urine",,putative,FALSE,,human,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Empedobacter,dna,"Zaman, Kamran, et al. ""Empedobacter Falsenii: a Rare Non-Fermenter Causing Urinary Tract Infection in a Child with Carcinoma Bladder.""of3 (2017): 2.",,GCF_013488205.1,APL-derived
Laribacter hongkongensis,168471,potential,,"blood, stool",,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Aquaspirillaceae,Laribacter,dna,"Yuen, Kwok-Yung, et al. ""Laribacter hongkongensis gen. nov., sp. nov., a novel gram-negative bacterium isolated from a cirrhotic patient with bacteremia and empyema.""Journal of clinical microbiology39.12 (2001): 4227-4232.",,GCF_002215055.1,APL-derived
Staphylococcus gallinarum,1293,potential,,blood,oral,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,dna,"Yu, Daojun, et al. ""Staphylococcus gallinarum bacteremia in a patient with chronic hepatitis b virus infection.""Annals of Clinical & Laboratory Science38.4 (2008): 401-404.",,GCF_029774255.1,APL-derived
Bacteroides salyersiae,291644,potential,,,gut,putative,FALSE,,human,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,dna,"Yoon, Jihoon G., et al. ""Bacteroides nordii and Bacteroides salyersiae Isolated from Post-operative Peritonitis Patients.""Laboratory Medicine Online6.2 (2016): 111-115.",,GCF_031172035.1,APL-derived
Fusarium solani,169388,opportunistic,,"cornea, blood",,established,FALSE,,human,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,dna,"Yera, H., et al. ""Mycetoma of the foot caused by Fusarium solani: identification of the etiologic agent by DNA sequencing.""�Journal of clinical microbiology�41.4 (2003): 1805-1808.",,GCF_023522795.1,APL-derived
Mycoplasmopsis arginini,2094,potential,,blood,,established,FALSE,,human,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Metamycoplasmataceae,Mycoplasmopsis,dna,"Yechouron, Ariane, et al. ""Fatal septicemia due to Mycoplasma arginini: a new human zoonosis.""Clinical infectious diseases15.3 (1992): 434-438.",,GCF_001547975.1,APL-derived
Xenophilus aerolatus,452922,potential,,blood,,putative,FALSE,,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Xenophilus,dna,"Yau, Yvonne CW, and Elizabeth A. Harvey. ""Xenophilus aerolatus Peritonitis in a Six-Year-Old Boy on Maintenance Peritoneal Dialysis.""Advances in Peritoneal Dialysis27 (2011).",,,APL-derived
Williamsia serinedens,391736,opportunistic,,blood,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Williamsia,dna,"Yassin, Atteyet F., et al. ""Perinatal sepsis caused by Williamsia serinedens infection in a 31-year-old pregnant woman.""Journal of clinical microbiology48.7 (2010): 2626-2629.",,GCF_039530165.1,APL-derived
Corynebacterium aurimucosum,169292,commensal,,urine,skin,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,dna,"Yassin, A. F., U. Steiner, and W. Ludwig. ""Corynebacterium aurimucosum sp. nov. and emended description of Corynebacterium minutissimum Collins and Jones (1983).""International journal of systematic and evolutionary microbiology52.3 (2002): 1001-1005.",,GCF_016728685.1,APL-derived
Corynebacterium appendicis,163202,commensal,,,,putative,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,dna,"Yassin, A. F., U. Steiner, and W. Ludwig. ""Corynebacterium appendicis sp. nov.""International journal of systematic and evolutionary microbiology52.4 (2002): 1165-1169.",,GCF_025144565.1,APL-derived
